province,pv,uv,new_user_uv,paid_uv,total_amount,user_count
山东省,1898950,15001,4791,388,43961,11102
,887578,13692,3289,234,27462,10479
江苏省,1948004,13012,4120,520,73572,9279
广东省,1693674,12329,4512,346,44341,8636
辽宁省,1225811,8608,2417,329,40292,6533
安徽省,1093920,7967,2704,219,26789,5736
河南省,864421,7402,3464,110,10051,5358
河北省,822309,7090,3247,152,19182,5164
湖南省,906395,6782,2619,198,22541,4936
福建省,987396,6732,2145,198,29270,5009
四川省,704503,6635,2823,170,18851,4836
浙江省,767689,5948,2189,214,28132,4342
北京,665147,5561,1678,168,23349,4033
湖北省,710489,5116,1946,145,17669,3668
江西省,614845,4703,1876,93,11182,3403
黑龙江省,660073,4563,1336,173,22025,3502
重庆,543374,4144,1522,134,15659,3063
天津,521669,3655,946,116,17532,2806
陕西省,390208,3447,1621,82,10434,2463
山西省,272796,3129,1680,58,6725,2044
上海,429125,2910,895,121,18408,2092
云南省,262448,2702,1264,82,7414,1834
吉林省,350017,2593,909,95,11908,1874
内蒙古,283319,2557,992,89,9937,1846
广西,310593,2536,1059,37,3846,1799
新疆,234230,2494,1177,68,7385,1714
贵州省,215766,2405,1125,55,5323,1705
甘肃省,232746,2354,1069,40,4591,1706
海南省,171953,1128,440,30,3222,787
宁夏,101061,1007,465,19,2245,752
青海省,56965,611,280,12,928,453
西藏,21988,193,95,7,781,128
香港,6338,41,12,1,268,30
东京都,360,8,4,0,0,8
澳门,208,8,3,0,0,3
加利福尼亚,270,7,1,0,0,5
伦敦,218,5,0,0,0,5
首尔,39,4,0,0,0,3
德克萨斯,88,4,1,0,0,3
新南威尔士,185,4,1,2,98,3
伊利诺伊,60,3,0,0,0,3
台湾省,296,3,1,0,0,3
密歇根,265,3,0,1,49,3
安大略,267,3,0,0,0,2
俄亥俄,52,3,0,0,0,2
曼谷,1752,2,0,0,0,1
新泽西,55,2,0,0,0,1
康涅狄格,31,2,0,0,0,1
宾夕法尼亚,307,2,1,1,268,2
神奈川县,277,2,0,1,268,2
纽约,43,2,0,0,0,2
阿姆斯特丹,29,2,0,0,0,2
亚太地区,142,2,1,0,0,2
佐治亚,60,2,1,0,0,1
大阪府,21,2,0,0,0,2
马哈拉施特拉,6,1,1,0,0,1
Auckland,15,1,0,0,0,1
内华达,8,1,0,0,0,1
内湖省,51,1,0,0,0,1
北卡罗来纳,7,1,0,0,0,1
华盛顿,30,1,0,0,0,1
南卡罗来纳,47,1,1,0,0,1
弗吉尼亚,177,1,1,0,0,1
明尼苏达,9,1,0,0,0,1
槟州,18,1,0,0,0,0
科罗拉多,160,1,0,0,0,1
素叻府,12,1,0,0,0,1
马尼拉,201,1,0,1,268,1
马德里,55,1,0,0,0,1
Barcelona,30,1,0,0,0,1
三重县,108,1,0,0,0,1
佛罗里达,27,1,0,0,0,0
山梨县,6,1,1,0,0,1
海防市,19,1,0,0,0,1
西爪哇,34,1,0,0,0,1
胡志明,3,0,0,0,0,0
艾伯塔,4,0,0,0,0,0
罗马,12,0,0,0,0,0
维多利亚,12,0,0,0,0,0
洛坤府,2,0,0,0,0,0
法兰克福,2,0,0,0,0,0
河内,36,0,0,0,0,0
沙巴州,3,0,0,0,0,0
栃木县,4,0,0,0,0,0
暖武里府,21,0,0,0,0,0
新斯科舍,12,0,0,0,0,0
新怡诗夏省,2,0,0,0,0,0
Bayern,15,0,0,0,0,0
广宁省,14,0,0,0,0,0
宿雾省,4,0,0,0,0,0
同奈省,4,0,0,0,0,0
吉隆坡,19,0,0,0,0,0
北榄坡府,20,0,0,0,0,0
Valencia,35,0,0,0,0,0
乌汶府,8,0,0,0,0,0
马萨诸塞,10,0,0,0,0,0
米兰,2,0,0,0,0,0
不列颠哥伦比亚,5,0,0,0,0,0
雪兰莪,69,0,0,0,0,0
西澳大利亚,5,0,0,0,0,0
肯塔基,2,0,0,0,0,0
