年份,月份,地区,日期,新用户,活跃用户,付费用户,付费转化率2,新用户占比,老用户,订单营收,ARPPU,进入详情页用户,访问率,ARPU,使用用户,使用率
25年,12月,山东,4562700%,1594400%,2726700%,78700%,3%,58%,1132300%,6382300%,8110%,2432500%,89%,234%,1953000%,72%
,,,4599200%,871700%,2361700%,75600%,3%,37%,1490000%,8005700%,10590%,1989700%,84%,339%,1788800%,76%
,,,同比,-45%,-13%,-4%,,,32%,25%,31%,-18%,-6%,45%,-8%,6%
,,广东,4562700%,749400%,1320000%,70300%,5%,57%,570600%,6097500%,8674%,1117000%,85%,462%,807600%,61%
,,,4599200%,683500%,1528900%,64000%,4%,45%,845400%,7416000%,11588%,1254400%,82%,485%,1111500%,73%
,,,同比,-9%,16%,-9%,,,48%,22%,34%,12%,-3%,5%,38%,19%
,,安徽,4562700%,532500%,992400%,39900%,4%,54%,459900%,3824100%,9584%,834500%,84%,385%,608300%,61%
,,,4599200%,427700%,1140100%,43800%,4%,38%,712400%,4766600%,10883%,963400%,85%,418%,838600%,74%
,,,同比,-20%,15%,10%,,,55%,25%,14%,15%,0%,9%,38%,20%
,,辽宁,4562700%,632700%,1159000%,59900%,5%,55%,526300%,5597400%,9345%,992000%,86%,483%,760200%,66%
,,,4599200%,544500%,1414500%,69100%,5%,38%,870000%,7234900%,10470%,1228900%,87%,511%,1109700%,78%
,,,同比,-14%,22%,15%,,,65%,29%,12%,24%,2%,6%,46%,20%
,,河南,4562700%,537900%,837300%,15200%,2%,64%,299400%,1209600%,7958%,697600%,83%,144%,476300%,57%
,,,4599200%,414800%,854700%,15400%,2%,49%,439900%,1609000%,10448%,691600%,81%,188%,600500%,70%
,,,同比,-23%,2%,1%,,,47%,33%,31%,-1%,-3%,30%,26%,24%
,,福建,4562700%,448300%,802300%,27000%,3%,56%,354000%,2645500%,9798%,678300%,85%,330%,513800%,64%
,,,4599200%,338300%,912100%,33700%,4%,37%,573800%,3832000%,11371%,754400%,83%,420%,674800%,74%
