年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,18522,45254,2.443256668,64%
25年,2月,10194,39936,3.917598587,55%
25年,3月,13053,61207,4.689113614,61%
25年,4月,15700,63799,4.063630573,67%
25年,5月,15965,68465,4.28844347,70%
25年,6月,21581,87750,4.066076641,75%
25年,7月,17235,58836,3.413751088,67%
25年,8月,9279,44380,4.782842979,66%
25年,9月,9271,60263,6.500161795,67%
25年,10月,12430,75459,6.07071601,71%
25年,11月,15678,91230,5.818982013,76%
25年,12月,15289,74160,4.850546144,74%
26年,1月,24154,102768,4.254699015,79%
26年,2月,13156,38002,2.888567954,67%
