一级模块,二级模块,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,2026年6月,2026年7月,平均渗透率
功能,搜索,55.22,57.83,55.46,53.59,45.78,43.33,42.94,48.21,51.62,49.97,53.59,47.09,48.42,53.39,51.31,53.82,47.39,50.53
,拍照答疑,null,null,null,null,null,null,null,null,3.01,8.05,9.26,8.17,8.28,8.29,8.83,8.24,7.77,7.77
真题试卷,刷真题,43.87,58.11,54.63,58.72,53.65,52.17,52.54,56.35,57.84,55.04,58.11,51.26,52.4,57.08,56.9,59.47,53.59,54.81
同步,单元卷,11.44,11.19,10.34,7.88,11.46,13.56,22.27,17.05,11.1,10.91,6.66,6.6,11.45,8.14,7.15,3.57,0,10.05
,练习,7.16,8.31,7.62,6.9,10.48,11.34,16.55,16.51,13.52,12.73,9.66,10.64,13.74,10.45,9.9,4.93,0,10.03
,同步学,6.46,7.03,6.41,6.94,14.28,14.45,21.05,14.14,11.86,10.46,7.27,9.1,11.83,7.63,7.57,7.15,15.26,10.52
,视频,9.79,9.67,9.54,8.88,13.48,13.48,13.95,11.64,9.72,9.02,7.53,8.74,8.21,6.48,6.55,3.58,1.71,8.94
,知识清单,5.97,7.24,7.27,6.05,6.85,6.84,8.36,7.41,6.08,5.73,4.65,4.5,5.27,4.43,4.29,2.52,0,5.50
,寒暑假,1.36,1.63,1.68,4.71,12.54,10.11,2.85,2.3,2.72,3.31,5.38,8.58,2.35,1.74,4.36,4.5,12.31,4.85
,特色内容,null,null,0,0.29,1.66,5.6,6.93,7.18,5.94,5.52,4.54,4.33,5.15,4.31,2.33,2.36,0,3.74
备考,阶段复习,6.57,18.47,12.66,18.74,12.48,8.18,8.35,16.2,22.48,16.89,21.06,7.97,6.55,14.45,10.99,16.36,11.74,13.54
,升学备考,10.03,12.5,13.88,12.73,8.67,10.18,9.11,7.77,7.26,6.3,5.78,9.29,11.91,11.95,15.46,11.87,9.96,10.27
,推广图,null,null,null,null,null,null,2.05,0.61,9.88,12.68,8.62,5.66,6.09,6.5,6.41,7.06,6.56,6.56
,学考,null,null,0,1.73,2.9,2.94,3.06,2.53,2.16,2.75,1.81,1.46,1.9,1.67,2.03,2.02,2.59,2.10
