week_key,date_range,search_pv,click_pv,click_rate_pv_pct,any_usage_pv,usage_rate_vs_click_pv_pct
W01,01-01 ~ 01-07,604115,418525,69.28,68676,11.37
W02,01-08 ~ 01-14,714381,484154,67.77,82229,11.51
W03,01-15 ~ 01-21,845273,572228,67.7,97580,11.54
W04,01-22 ~ 01-28,898740,618095,68.77,100695,11.2
W05,01-29 ~ 02-04,669850,479851,71.64,72003,10.75
W06,02-05 ~ 02-11,297315,195888,65.89,31054,10.44
W07,02-12 ~ 02-18,128979,89087,69.07,14760,11.44
W08,02-19 ~ 02-25,186369,124561,66.84,20881,11.2
W09,02-26 ~ 03-04,228939,146188,63.85,23558,10.29
W10,03-05 ~ 03-11,222657,138565,62.23,22644,10.17
W11,03-12 ~ 03-18,233782,147241,62.98,23644,10.11
W12,03-19 ~ 03-25,273429,175777,64.29,28366,10.37
W13,03-26 ~ 04-01,327652,213766,65.24,33489,10.22
W14,04-02 ~ 04-08,356763,234749,65.8,36785,10.31
W15,04-09 ~ 04-15,437966,264495,60.39,41894,9.57
W16,04-16 ~ 04-22,609200,327003,53.68,49517,8.13
W17,04-23 ~ 04-29,661631,366220,55.35,54823,8.29
W18,04-30 ~ 05-06,532278,290932,54.66,46832,8.8
W19,05-07 ~ 05-13,551568,296906,53.83,46017,8.34
