dt,付费用户,营收
2026/1/1,345,29247
2026/1/2,406,35488
2026/1/3,437,39576
2026/1/4,342,27809
2026/1/5,356,31528
2026/1/6,377,36626
2026/1/7,364,31381
2026/1/8,394,38861
2026/1/9,365,32735
2026/1/10,589,58350
2026/1/11,644,62932
2026/1/12,412,37436
2026/1/13,393,33818
2026/1/14,417,38871
2026/1/15,342,32175
2026/1/16,414,41424
2026/1/17,620,61948
2026/1/18,659,62795
2026/1/19,360,33992
2026/1/20,330,31301
2026/1/21,364,34848
2026/1/22,331,30643
2026/1/23,354,33719
2026/1/24,598,59098
2026/1/25,580,54974
2026/1/26,327,31842
2026/1/27,301,30500
2026/1/28,302,29572
2026/1/29,257,27585
2026/1/30,314,31845
2026/1/31,407,35637
2026/2/1,392,38243
2026/2/2,295,28297
2026/2/3,240,24504
2026/2/4,234,20502
2026/2/5,221,21901
2026/2/6,249,24900
2026/2/7,275,29330
2026/2/8,258,23858
2026/2/9,207,19213
2026/2/10,211,19309
2026/2/11,227,17650
2026/2/12,190,15319
2026/2/13,173,13725
2026/2/14,169,16059
2026/2/15,111,9818
2026/2/16,69,6575
2026/2/17,82,8637
2026/2/18,94,9443
2026/2/19,132,12390
2026/2/20,158,15360
2026/2/21,148,17160
2026/2/22,191,18193
2026/2/23,187,20221
2026/2/24,246,24319
2026/2/25,205,23279
2026/2/26,218,24633
2026/2/27,206,22241
2026/2/28,206,21129
2026/3/1,232,27317
2026/3/2,234,23032
2026/3/3,202,18826
2026/3/4,240,27145
2026/3/5,224,23297
2026/3/6,229,26750
2026/3/7,335,36524
2026/3/8,402,41772
2026/3/9,214,21770
2026/3/10,218,20012
2026/3/11,223,23620
2026/3/12,158,14407
2026/3/13,219,22840
2026/3/14,344,32933
2026/3/15,358,35697
2026/3/16,236,26696
2026/3/17,191,19294
2026/3/18,203,21332
2026/3/19,227,21307
2026/3/20,208,20227
2026/3/21,357,34493
2026/3/22,420,37866
2026/3/23,229,23851
2026/3/24,217,21097
2026/3/25,220,19052
2026/3/26,227,19833
2026/3/27,220,21501
2026/3/28,418,36405
2026/3/29,471,42862
2026/3/30,260,22831
2026/3/31,243,21523
2026/4/1,253,21016
2026/4/2,263,23185
2026/4/3,291,28830
2026/4/4,352,31351
2026/4/5,441,39330
2026/4/6,503,40418
2026/4/7,275,25407
2026/4/8,298,25785
2026/4/9,251,23032
2026/4/10,233,21510
2026/4/11,483,41633
2026/4/12,588,51182
2026/4/13,361,32787
2026/4/14,332,30151
2026/4/15,301,27576
2026/4/16,296,27540
2026/4/17,312,27964
2026/4/18,565,49622
2026/4/19,611,49979
2026/4/20,364,35099
2026/4/21,335,31145
2026/4/22,336,29039
2026/4/23,323,28163
2026/4/24,358,32054
2026/4/25,556,48083
2026/4/26,608,54368
2026/4/27,322,25168
2026/4/28,275,24162
2026/4/29,246,22636
2026/4/30,353,29021
2026/5/1,451,39585
2026/5/2,395,35707
2026/5/3,381,32534
2026/5/4,350,28263
2026/5/5,420,32471
2026/5/6,365,31707
2026/5/7,305,23718
2026/5/8,344,26933
2026/5/9,400,33285
2026/5/10,667,54432
2026/5/11,401,33426
2026/5/12,396,32236
2026/5/13,365,29508
2026/5/14,302,23035
2026/5/15,350,30541
2026/5/16,569,49378
2026/5/17,623,51655
2026/5/18,362,32106
2026/5/19,333,25799
2026/5/20,334,28815
2026/5/21,348,31018
2026/5/22,354,31276
2026/5/23,542,45237
2026/5/24,579,47312
2026/5/25,351,28766
2026/5/26,384,27700
2026/5/27,364,30067
2026/5/28,342,24537
2026/5/29,326,24851
2026/5/30,576,43622
2026/5/31,665,59253
2026/6/1,435,33507
2026/6/2,408,34687
2026/6/3,423,31742
2026/6/4,460,37242
2026/6/5,424,35187
2026/6/6,609,51652
2026/6/7,664,56893
2026/6/8,463,41769
2026/6/9,455,41988
2026/6/10,472,42687
2026/6/11,380,33962
2026/6/12,365,34515
2026/6/13,625,59855
2026/6/14,608,57267
2026/6/15,399,37933
2026/6/16,402,34364
2026/6/17,386,34168
