date,活跃用户数,使用用户数,使用率百分比
2026/1/1,22054,13715,62.19
2026/1/2,27358,17732,64.81
2026/1/3,30989,20600,66.48
2026/1/4,21786,14579,66.92
2026/1/5,23213,15832,68.2
2026/1/6,24064,16202,67.33
2026/1/7,25342,16897,66.68
2026/1/8,25628,16591,64.74
2026/1/9,24084,15172,63
2026/1/10,32033,21077,65.8
2026/1/11,37160,25582,68.84
2026/1/12,26331,17928,68.09
2026/1/13,27026,18376,67.99
2026/1/14,28507,18811,65.99
2026/1/15,28668,18888,65.89
2026/1/16,28278,18032,63.77
2026/1/17,38770,25936,66.9
2026/1/18,43999,30599,69.54
2026/1/19,30309,20473,67.55
2026/1/20,30876,20995,68
2026/1/21,30947,20713,66.93
2026/1/22,30836,20340,65.96
2026/1/23,29666,18831,63.48
2026/1/24,40933,27453,67.07
2026/1/25,45337,31308,69.06
2026/1/26,31735,21276,67.04
2026/1/27,31854,20998,65.92
2026/1/28,31571,20056,63.53
2026/1/29,29447,18150,61.64
2026/1/30,28003,16398,58.56
2026/1/31,33100,20625,62.31
2026/2/1,31908,20636,64.67
2026/2/2,25302,15612,61.7
2026/2/3,23678,14458,61.06
2026/2/4,22589,13247,58.64
2026/2/5,21337,12227,57.3
2026/2/6,20618,11738,56.93
2026/2/7,19610,10672,54.42
2026/2/8,18048,9723,53.87
2026/2/9,17186,9455,55.02
2026/2/10,16432,9101,55.39
2026/2/11,15780,8696,55.11
2026/2/12,15099,8219,54.43
2026/2/13,14099,7821,55.47
2026/2/14,12332,6820,55.3
2026/2/15,10532,5707,54.19
2026/2/16,6556,3275,49.95
2026/2/17,6786,3491,51.44
2026/2/18,8443,4575,54.19
2026/2/19,9838,5560,56.52
2026/2/20,11176,6351,56.83
2026/2/21,12182,7040,57.79
2026/2/22,13458,7799,57.95
2026/2/23,14756,8594,58.24
2026/2/24,15396,9002,58.47
2026/2/25,15447,8987,58.18
2026/2/26,15617,9044,57.91
2026/2/27,15385,8905,57.88
2026/2/28,15401,8851,57.47
2026/3/1,16099,9361,58.15
2026/3/2,14012,8087,57.71
2026/3/3,14115,7967,56.44
2026/3/4,13244,7512,56.72
2026/3/5,13202,7600,57.57
2026/3/6,12830,7129,55.57
2026/3/7,17677,10335,58.47
2026/3/8,19542,11752,60.14
2026/3/9,12854,7425,57.76
2026/3/10,12643,7401,58.54
2026/3/11,12762,7418,58.13
2026/3/12,12685,7337,57.84
2026/3/13,12982,7252,55.86
2026/3/14,18692,11139,59.59
2026/3/15,20613,12484,60.56
2026/3/16,13576,7955,58.6
2026/3/17,13859,8029,57.93
2026/3/18,13985,8313,59.44
2026/3/19,14013,8183,58.4
2026/3/20,13957,8043,57.63
2026/3/21,19829,11761,59.31
2026/3/22,22780,13979,61.37
2026/3/23,14920,8768,58.77
2026/3/24,15030,8903,59.23
2026/3/25,15114,8970,59.35
2026/3/26,15965,9509,59.56
2026/3/27,16053,8839,55.06
2026/3/28,21962,12891,58.7
2026/3/29,25284,15695,62.07
2026/3/30,17367,10261,59.08
2026/3/31,17306,10298,59.51
2026/4/1,17425,10410,59.74
2026/4/2,17039,9965,58.48
2026/4/3,16552,9416,56.89
2026/4/4,22010,12839,58.33
2026/4/5,24396,14898,61.07
2026/4/6,26631,16586,62.28
2026/4/7,18866,11328,60.04
2026/4/8,19396,11694,60.29
2026/4/9,19645,11696,59.54
2026/4/10,17490,9824,56.17
2026/4/11,26308,16249,61.76
2026/4/12,30767,19565,63.59
2026/4/13,21315,12984,60.91
2026/4/14,21733,13485,62.05
2026/4/15,21966,13247,60.31
2026/4/16,22450,12959,57.72
2026/4/17,21599,12407,57.44
2026/4/18,30732,18632,60.63
2026/4/19,36023,22674,62.94
2026/4/20,25054,15072,60.16
2026/4/21,25693,15511,60.37
2026/4/22,26690,15790,59.16
2026/4/23,26098,15575,59.68
2026/4/24,24525,14491,59.09
2026/4/25,33846,21123,62.41
2026/4/26,38790,24907,64.21
2026/4/27,27932,16930,60.61
2026/4/28,26395,15840,60.01
2026/4/29,23007,13332,57.95
2026/4/30,21461,11760,54.8
2026/5/1,25999,14631,56.28
2026/5/2,26624,15666,58.84
2026/5/3,26278,15833,60.25
2026/5/4,27123,16504,60.85
2026/5/5,29430,18162,61.71
2026/5/6,23934,14323,59.84
2026/5/7,25222,14855,58.9
2026/5/8,24411,14052,57.56
2026/5/9,23666,13550,57.26
2026/5/10,34111,20804,60.99
2026/5/11,24470,14565,59.52
2026/5/12,24277,14479,59.64
2026/5/13,23911,14178,59.29
