年份,周数,起始日期,结尾日期,活跃用户,新用户,次周留存率,营收,ARPU,深度访问率,使用率,大会员活跃率,,
2025年,第1周,2025年1月1日,2025年1月7日,119000,60585,46%,199039,1.67,84%,65%,61%,,
2025年,第2周,2025年1月8日,2025年1月14日,125585,59163,38%,173441,1.38,83%,62%,57%,,
2025年,第3周,2025年1月15日,2025年1月21日,96407,44094,27%,100709,1.04,77%,52%,43%,,
2025年,第4周,2025年1月22日,2025年1月28日,59814,24979,21%,76057,1.27,75%,51%,32%,,
2025年,第5周,2025年1月29日,2025年2月4日,45572,17030,24%,63968,1.4,76%,52%,27%,,
2025年,第6周,2025年2月5日,2025年2月11日,58613,23606,30%,94922,1.62,77%,55%,35%,,
2025年,第7周,2025年2月12日,2025年2月18日,55670,21448,27%,114548,2.06,77%,54%,39%,,
2025年,第8周,2025年2月19日,2025年2月25日,54060,20883,29%,114026,2.11,78%,54%,39%,,
2025年,第9周,2025年2月26日,2025年3月4日,54929,18809,33%,114086,2.08,79%,56%,41%,,
2025年,第10周,2025年3月5日,2025年3月11日,60681,20892,35%,128269,2.11,81%,58%,44%,,
2025年,第11周,2025年3月12日,2025年3月18日,67775,22426,38%,132436,1.95,81%,61%,46%,,
2025年,第12周,2025年3月19日,2025年3月25日,71820,23960,37%,148884,2.07,81%,61%,46%,,
2025年,第13周,2025年3月26日,2025年4月1日,71346,22996,36%,157028,2.2,82%,62%,46%,,
2025年,第14周,2025年4月2日,2025年4月8日,79410,25383,39%,157316,1.98,83%,63%,47%,,
2025年,第15周,2025年4月9日,2025年4月15日,87740,27230,41%,180497,2.06,84%,66%,50%,,
2025年,第16周,2025年4月16日,2025年4月22日,99292,30258,44%,187338,1.89,85%,66%,51%,,
2025年,第17周,2025年4月23日,2025年4月29日,84398,23060,38%,161623,1.92,85%,66%,45%,,
2025年,第18周,2025年4月30日,2025年5月6日,84674,23386,38%,146046,1.72,84%,64%,44%,,
2025年,第19周,2025年5月7日,2025年5月13日,81989,21875,39%,168454,2.05,86%,66%,45%,,
2025年,第20周,2025年5月14日,2025年5月20日,86381,22388,45%,167313,1.94,84%,64%,46%,,
2025年,第21周,2025年5月21日,2025年5月27日,88032,22889,44%,167829,1.91,86%,66%,45%,,
2025年,第22周,2025年5月28日,2025年6月3日,97351,26587,46%,191394,1.97,87%,67%,48%,,
2025年,第23周,2025年6月4日,2025年6月10日,105205,29955,44%,203042,1.93,86%,70%,51%,,
2025年,第24周,2025年6月11日,2025年6月17日,103425,31454,40%,212470,2.05,87%,71%,51%,,
2025年,第25周,2025年6月18日,2025年6月24日,104365,30908,42%,198730,1.9,87%,70%,51%,,
2025年,第26周,2025年6月25日,2025年7月1日,105598,33491,41%,223957,2.12,86%,69%,50%,,
2025年,第27周,2025年7月2日,2025年7月8日,86280,26855,34%,180767,2.1,82%,64%,45%,,
2026年,第1周,2026年1月1日,2026年1月7日,103932,30144,42%,232351,2.24,83%,74%,50%,,
2026年,第2周,2026年1月8日,2026年1月14日,117167,37154,43%,303052,2.59,85%,75%,51%,,
2026年,第3周,2026年1月15日,2026年1月21日,133661,42673,44%,298800,2.24,86%,75%,52%,,
2026年,第4周,2026年1月22日,2026年1月28日,137602,43415,42%,270348,1.96,86%,75%,50%,,
2026年,第5周,2026年1月29日,2026年2月4日,115358,32802,36%,206613,1.79,83%,67%,45%,,
2026年,第6周,2026年2月5日,2026年2月11日,80892,22632,29%,156161,1.93,77%,60%,36%,,
2026年,第7周,2026年2月12日,2026年2月18日,48301,10964,25%,79576,1.65,75%,58%,26%,,
2026年,第8周,2026年2月19日,2026年2月25日,57801,14362,37%,130922,2.27,77%,62%,32%,,
2026年,第9周,2026年2月26日,2026年3月4日,65205,16702,37%,164323,2.52,78%,64%,37%,,
2026年,第10周,2026年3月5日,2026年3月11日,62386,15784,34%,193745,3.11,79%,65%,39%,,
2026年,第11周,2026年3月12日,2026年3月18日,65117,15631,41%,173199,2.66,80%,66%,39%,,
2026年,第12周,2026年3月19日,2026年3月25日,70001,16118,43%,177893,2.54,82%,67%,41%,,
2026年,第13周,2026年3月26日,2026年4月1日,78548,19184,44%,185971,2.37,83%,67%,43%,,
2026年,第14周,2026年4月2日,2026年4月8日,86420,20319,44%,214306,2.48,83%,68%,45%,,
2026年,第15周,2026年4月9日,2026年4月15日,91473,21509,43%,227871,2.49,84%,69%,46%,,
2026年,第16周,2026年4月16日,2026年4月22日,106962,25799,48%,250388,2.34,85%,71%,49%,,
2026年,第17周,2026年4月23日,2026年4月29日,112071,27402,45%,234634,2.09,85%,70%,48%,,
2026年,第18周,2026年4月30日,2026年5月6日,105994,25984,40%,229288,2.16,82%,67%,46%,,
2026年,第19周,2026年5月7日,2026年5月13日,101566,24326,40%,233538,2.3,83%,67%,45%,,
2026年,第20周,2026年5月14日,2026年5月20日,107122,26702,44%,241329,2.25,83%,66%,47%,,
2026年,第21周,2026年5月21日,2026年5月27日,114049,29789,45%,241376,2.12,84%,67%,47%,,
2026年,第22周,2026年5月28日,2026年6月3日,119436,31861,44%,252199,2.11,85%,68%,48%,,
2026年,第23周,2026年6月4日,2026年6月10日,135943,37963,45%,307418,2.26,84%,69%,52%,,
2026年,第24周,2026年6月11日,2026年6月17日,126816,36018,39%,291796,2.3,85%,77%,49%,,
2026年,第25周,2026年6月18日,2026年6月24日,132066,36268,43%,284339,2.15,84%,77%,50%,3029,2.29%
2026年,第26周,2026年6月25日,2026年7月1日,136192,39618,42%,343814,2.52,84%,76%,49%,3195,2.35%
2026年,第27周,2026年7月2日,2026年7月8日,114336,31700,36%,307489,2.69,82%,72%,45%,2575,2.25%
