年份,月份,签约金额,开票金额,到款金额,订单数,新签,续签
25年,3月,0.45万,0.45万,0.45万,1,1,0
25年,4月,2.45万,0.45万,1.00万,2,2,0
25年,5月,3.35万,4.35万,3.35万,4,4,0
25年,6月,4.07万,4.62万,2.62万,6,5,1
25年,7月,3.90万,2.35万,6.35万,4,4,0
25年,8月,4.80万,3.90万,4.35万,7,6,1
25年,9月,65.50万,31.33万,21.81万,20,17,3
25年,10月,9.57万,9.07万,6.39万,9,6,3
25年,11月,14.21万,8.73万,17.60万,17,12,5
25年,12月,20.28万,15.10万,20.51万,17,8,9
26年,1月,18.35万,12.82万,14.42万,20,9,11
26年,2月,4.10万,11.45万,4.75万,3,1,2
26年,3月,12.44万,16.62万,9.48万,13,8,5
26年,4月,5.65万,12.55万,6.90万,9,5,4
26年,5月,3.90万,4.60万,3.90万,7,3,4
26年,6月,70.27万,69.20万,67.63万,12,10,2
26年,7月,16.23万,5.65万,9.65万,10,8,2
26年,8月,19.33万,23.78万,2.95万,50,50,0
