年份,月份,月活,次月留存,营收,订单,ARPU,ARPPU,深度访问率,使用率,大会员活跃率,,,
25年,1月,288582,43%,569695,6538,1.97,88.1,83%,63%,80%,,,
25年,2月,159350,22%,411586,4101,2.58,101.4,78%,56%,64%,,,
25年,3月,191557,34%,624477,7055,3.26,89.6,82%,64%,73%,,,
25年,4月,228725,41%,725939,8975,3.17,82,85%,71%,75%,,,
25年,5月,226036,41%,733965,9990,3.29,74.8,88%,69%,72%,,,
25年,6月,279219,44%,901255,10887,3.23,84.1,90%,74%,77%,,,
25年,7月,186086,29%,620822,5728,3.34,110.3,83%,65%,66%,,,
25年,8月,114916,26%,459032,3760,3.99,124,84%,66%,57%,,,
25年,9月,116934,31%,692991,4988,5.93,140.5,84%,68%,63%,,,
25年,10月,177190,43%,1029526,8265,5.81,126.6,86%,71%,70%,,,
25年,11月,235300,44%,1077644,8948,4.58,122.2,87%,76%,74%,,,
25年,12月,222416,39%,894967,8490,4.02,106.9,83%,74%,72%,,,
26年,1月,335280,46%,1198458,12727,3.57,95.5,87%,78%,76%,,,
