"report_type","metric_name","metric_value","metric_rate"
"1_状态分布","周活警戒用户数","36559","1.81"
"1_状态分布","月活警戒用户数","78621","3.9"
"1_状态分布","活跃用户数","65205","3.24"
"1_状态分布","流失用户数","1833940","91.04"
"1_状态分布","累计用户总数","2014325","100.0"
"2_流转指标","1-CURR_活跃降级率","36559","63.25"
"2_流转指标","1-NURR_闪现率","13998","83.81"
"2_流转指标","CURR_活跃留存率","21242","36.75"
"2_流转指标","NURR_新用户留存率","2704","16.19"
"2_流转指标","SURR_复活用户留存率","10437","null"
"2_流转指标","周活警戒_停留率","0","0.0"
"2_流转指标","周活警戒_召回率","5078","16.61"
"2_流转指标","周活警戒_流失率","0","0.0"
"2_流转指标","周活警戒_降级率","25489","83.39"
"2_流转指标","月活警戒_停留率","53132","37.91"
"2_流转指标","月活警戒_召回率","11746","8.38"
"2_流转指标","月活警戒_流失率","75268","53.71"
"2_流转指标","流失_复活率","10437","0.59"
"2_流转指标","流失_持续流失率","1758672","99.41"
"3_流转矩阵","周活警戒→周活警戒","0","0.0"
"3_流转矩阵","周活警戒→月活警戒","25489","83.39"
"3_流转矩阵","周活警戒→活跃","5078","16.61"
"3_流转矩阵","周活警戒→流失","0","0.0"
"3_流转矩阵","月活警戒→月活警戒","53132","37.91"
"3_流转矩阵","月活警戒→活跃","11746","8.38"
"3_流转矩阵","月活警戒→流失","75268","53.71"
"3_流转矩阵","活跃→周活警戒","36559","63.25"
"3_流转矩阵","活跃→活跃","21242","36.75"
"3_流转矩阵","流失→活跃","10437","0.59"
"3_流转矩阵","流失→流失","1758672","99.41"
"4_特殊用户","召回用户_合计","16824","9.86"
"4_特殊用户","召回用户_来自周活警戒","5078","16.61"
"4_特殊用户","召回用户_来自月活警戒","11746","8.38"
"4_特殊用户","复活用户","10437","0.59"
"4_特殊用户","持续活跃老用户","21242","32.58"
"4_特殊用户","本周新增用户","16702","25.61"
"4_特殊用户","留存新用户","2704","16.19"
"4_特殊用户","闪现用户","13998","83.81"
"5_活跃构成","周活警戒召回","5078","7.79"
"5_活跃构成","复活用户","10437","16.01"
"5_活跃构成","持续活跃老用户","21242","32.58"
"5_活跃构成","月活警戒召回","11746","18.01"
"5_活跃构成","留存新用户","2704","4.15"
"5_活跃构成","闪现用户","13998","21.47"
