第n周,周开始日期,周结束日期,周区间,活跃用户,新增用户,老用户,新增用户占比,新用户次周留存,累计用户
1,2026/1/1,2026/1/7,2026-01-01 ~ 2026-01-07,103932,30144,73788,29.00%,29%,1793623
2,2026/1/8,2026/1/14,2026-01-08 ~ 2026-01-14,117167,37154,80013,31.71%,22%,1830777
3,2026/1/15,2026/1/21,2026-01-15 ~ 2026-01-21,133661,42673,90988,31.93%,24%,1873450
4,2026/1/22,2026/1/28,2026-01-22 ~ 2026-01-28,137602,43415,94187,31.55%,22%,1916865
5,2026/1/29,2026/2/4,2026-01-29 ~ 2026-02-04,115358,32802,82556,28.43%,19%,1949667
6,2026/2/5,2026/2/11,2026-02-05 ~ 2026-02-11,80892,22632,58260,27.98%,15%,1972299
7,2026/2/12,2026/2/18,2026-02-12 ~ 2026-02-18,48301,10964,37337,22.70%,13%,1983263
8,2026/2/19,2026/2/25,2026-02-19 ~ 2026-02-25,57801,14362,43439,24.85%,18%,1997625
9,2026/2/26,2026/3/4,2026-02-26 ~ 2026-03-04,65205,16702,48503,25.61%,17%,2014327
10,2026/3/5,2026/3/11,2026-03-05 ~ 2026-03-11,62386,15784,46602,25.30%,14%,2030111
11,2026/3/12,2026/3/18,2026-03-12 ~ 2026-03-18,65117,15631,49486,24.00%,18%,2045742
12,2026/3/19,2026/3/25,2026-03-19 ~ 2026-03-25,70001,16118,53883,23.03%,19%,2061860
13,2026/3/26,2026/4/1,2026-03-26 ~ 2026-04-01,78548,19184,59364,24.42%,20%,2081044
14,2026/4/2,2026/4/8,2026-04-02 ~ 2026-04-08,86420,20319,66101,23.51%,19%,2101363
15,2026/4/9,2026/4/15,2026-04-09 ~ 2026-04-15,91473,21509,69964,23.51%,19%,2122872
16,2026/4/16,2026/4/22,2026-04-16 ~ 2026-04-22,106962,25799,81163,24.12%,23%,2148671
1,2025/1/1,2025/1/7,2025-01-01 ~ 2025-01-07,119000,60585,58415,50.91%,20%,622855
2,2025/1/8,2025/1/14,2025-01-08 ~ 2025-01-14,125585,59163,66422,47.11%,28%,682018
3,2025/1/15,2025/1/21,2025-01-15 ~ 2025-01-21,96407,44097,52310,45.74%,19%,726115
4,2025/1/22,2025/1/28,2025-01-22 ~ 2025-01-28,59814,24979,34835,41.76%,14%,751094
5,2025/1/29,2025/2/4,2025-01-29 ~ 2025-02-04,45572,17030,28542,37.37%,15%,768124
6,2025/2/5,2025/2/11,2025-02-05 ~ 2025-02-11,58613,23606,35007,40.27%,18%,791730
7,2025/2/12,2025/2/18,2025-02-12 ~ 2025-02-18,55670,21448,34222,38.53%,15%,813178
8,2025/2/19,2025/2/25,2025-02-19 ~ 2025-02-25,54060,20883,33177,38.63%,14%,834061
9,2025/2/26,2025/3/4,2025-02-26 ~ 2025-03-04,54929,18809,36120,34.24%,17%,852870
10,2025/3/5,2025/3/11,2025-03-05 ~ 2025-03-11,60681,20892,39789,34.43%,18%,873762
11,2025/3/12,2025/3/18,2025-03-12 ~ 2025-03-18,67775,22426,45349,33.09%,20%,896188
12,2025/3/19,2025/3/25,2025-03-19 ~ 2025-03-25,71820,23960,47860,33.36%,19%,920148
13,2025/3/26,2025/4/1,2025-03-26 ~ 2025-04-01,71346,22996,48350,32.23%,19%,943144
14,2025/4/2,2025/4/8,2025-04-02 ~ 2025-04-08,79410,25383,54027,31.96%,20%,968527
15,2025/4/9,2025/4/15,2025-04-09 ~ 2025-04-15,87740,27230,60510,31.03%,21%,995757
16,2025/4/16,2025/4/22,2025-04-16 ~ 2025-04-22,99292,30258,69034,30.47%,24%,1026015
17,2025/4/23,2025/4/29,2025-04-23 ~ 2025-04-29,84398,23060,61338,27.32%,20%,1049075
18,2025/4/30,2025/5/6,2025-04-30 ~ 2025-05-06,84674,23386,61288,27.62%,21%,1072461
19,2025/5/7,2025/5/13,2025-05-07 ~ 2025-05-13,77848,20290,57558,26.06%,19%,1092751
20,2025/5/14,2025/5/20,2025-05-14 ~ 2025-05-20,77745,20681,57064,26.60%,20%,1113432
21,2025/5/21,2025/5/27,2025-05-21 ~ 2025-05-27,88032,22889,65143,26.00%,26%,1136321
