week_start,week_end,channel_name,uv
2026/1/1,2026/1/7,APP,96911
2026/1/1,2026/1/7,学伴,2795
2026/1/1,2026/1/7,组卷网服务号底部按钮,2150
2026/1/1,2026/1/7,其他渠道,1269
2026/1/1,2026/1/7,组卷网公众号新用户提醒,349
2026/1/1,2026/1/7,组卷网公众号底部按钮,253
2026/1/1,2026/1/7,小卷首页banner,146
2026/1/1,2026/1/7,组卷网服务号新用户提醒,20
2026/1/1,2026/1/7,南平市智达信息科技有限公司,19
2026/1/1,2026/1/7,马兰花开,10
2026/1/1,2026/1/7,小卷开屏弹窗,10
2026/1/1,2026/1/7,组卷网公众号推文(i),1
2026/1/8,2026/1/14,APP,110208
2026/1/8,2026/1/14,组卷网服务号底部按钮,2383
2026/1/8,2026/1/14,学伴,2267
2026/1/8,2026/1/14,其他渠道,1589
2026/1/8,2026/1/14,组卷网公众号底部按钮,300
2026/1/8,2026/1/14,小卷首页banner,171
2026/1/8,2026/1/14,组卷网公众号新用户提醒,143
2026/1/8,2026/1/14,马兰花开,53
2026/1/8,2026/1/14,组卷网服务号新用户提醒,32
2026/1/8,2026/1/14,南平市智达信息科技有限公司,19
2026/1/8,2026/1/14,小卷开屏弹窗,3
2026/1/15,2026/1/21,APP,127077
2026/1/15,2026/1/21,其他渠道,3096
2026/1/15,2026/1/21,组卷网服务号底部按钮,2232
2026/1/15,2026/1/21,学伴,518
2026/1/15,2026/1/21,组卷网公众号底部按钮,324
2026/1/15,2026/1/21,小卷首页banner,175
2026/1/15,2026/1/21,组卷网公众号新用户提醒,153
2026/1/15,2026/1/21,组卷网服务号新用户提醒,28
2026/1/15,2026/1/21,马兰花开,25
2026/1/15,2026/1/21,南平市智达信息科技有限公司,20
2026/1/15,2026/1/21,小卷开屏弹窗,13
2026/1/15,2026/1/21,组卷网公众号推文(i),1
2026/1/22,2026/1/28,APP,131696
2026/1/22,2026/1/28,其他渠道,3002
2026/1/22,2026/1/28,组卷网服务号底部按钮,1958
2026/1/22,2026/1/28,组卷网公众号底部按钮,344
2026/1/22,2026/1/28,学伴,187
2026/1/22,2026/1/28,组卷网公众号新用户提醒,163
2026/1/22,2026/1/28,小卷首页banner,155
2026/1/22,2026/1/28,南平市智达信息科技有限公司,37
2026/1/22,2026/1/28,马兰花开,28
2026/1/22,2026/1/28,组卷网服务号新用户提醒,19
2026/1/22,2026/1/28,小卷开屏弹窗,12
2026/1/22,2026/1/28,电信翼智,2
2026/1/29,2026/2/4,APP,111613
2026/1/29,2026/2/4,其他渠道,1497
2026/1/29,2026/2/4,组卷网服务号底部按钮,1416
2026/1/29,2026/2/4,组卷网公众号底部按钮,245
2026/1/29,2026/2/4,南平市智达信息科技有限公司,189
2026/1/29,2026/2/4,学伴,137
2026/1/29,2026/2/4,小卷首页banner,133
2026/1/29,2026/2/4,组卷网公众号新用户提醒,84
2026/1/29,2026/2/4,组卷网服务号新用户提醒,19
2026/1/29,2026/2/4,马兰花开,17
2026/1/29,2026/2/4,小卷开屏弹窗,7
2026/1/29,2026/2/4,电信翼智,1
2026/1/29,2026/2/4,山西和教育,1
2026/2/5,2026/2/11,APP,77900
2026/2/5,2026/2/11,组卷网服务号底部按钮,1267
2026/2/5,2026/2/11,其他渠道,1024
2026/2/5,2026/2/11,组卷网公众号底部按钮,194
2026/2/5,2026/2/11,学伴,165
2026/2/5,2026/2/11,组卷网公众号新用户提醒,104
2026/2/5,2026/2/11,南平市智达信息科技有限公司,104
2026/2/5,2026/2/11,小卷首页banner,98
2026/2/5,2026/2/11,组卷网服务号新用户提醒,25
2026/2/5,2026/2/11,马兰花开,7
2026/2/5,2026/2/11,小卷开屏弹窗,4
2026/2/5,2026/2/11,电信翼智,1
2026/2/12,2026/2/18,APP,46714
2026/2/12,2026/2/18,其他渠道,646
2026/2/12,2026/2/18,组卷网服务号底部按钮,590
2026/2/12,2026/2/18,学伴,124
2026/2/12,2026/2/18,组卷网公众号底部按钮,97
2026/2/12,2026/2/18,组卷网公众号新用户提醒,61
2026/2/12,2026/2/18,小卷首页banner,44
2026/2/12,2026/2/18,组卷网服务号新用户提醒,10
2026/2/12,2026/2/18,南平市智达信息科技有限公司,7
2026/2/12,2026/2/18,马兰花开,4
2026/2/12,2026/2/18,小卷开屏弹窗,4
2026/2/12,2026/2/18,电信翼智,1
2026/2/19,2026/2/25,APP,55506
2026/2/19,2026/2/25,其他渠道,956
2026/2/19,2026/2/25,组卷网服务号底部按钮,801
2026/2/19,2026/2/25,学伴,224
2026/2/19,2026/2/25,组卷网公众号底部按钮,115
2026/2/19,2026/2/25,组卷网公众号新用户提醒,88
2026/2/19,2026/2/25,小卷首页banner,85
2026/2/19,2026/2/25,南平市智达信息科技有限公司,16
2026/2/19,2026/2/25,组卷网服务号新用户提醒,5
2026/2/19,2026/2/25,小卷开屏弹窗,4
2026/2/19,2026/2/25,马兰花开,2
2026/2/26,2026/3/4,APP,62337
2026/2/26,2026/3/4,其他渠道,1197
2026/2/26,2026/3/4,组卷网服务号底部按钮,1059
2026/2/26,2026/3/4,学伴,260
2026/2/26,2026/3/4,组卷网公众号底部按钮,133
2026/2/26,2026/3/4,小卷首页banner,127
2026/2/26,2026/3/4,组卷网公众号新用户提醒,41
2026/2/26,2026/3/4,南平市智达信息科技有限公司,23
2026/2/26,2026/3/4,组卷网服务号新用户提醒,14
2026/2/26,2026/3/4,马兰花开,9
2026/2/26,2026/3/4,小卷开屏弹窗,3
2026/2/26,2026/3/4,电信翼智,2
2026/2/26,2026/3/4,组卷网公众号推文(i),1
2026/3/5,2026/3/11,APP,59439
2026/3/5,2026/3/11,组卷网服务号底部按钮,1264
2026/3/5,2026/3/11,其他渠道,1036
2026/3/5,2026/3/11,学伴,303
2026/3/5,2026/3/11,组卷网公众号底部按钮,164
2026/3/5,2026/3/11,小卷首页banner,124
2026/3/5,2026/3/11,组卷网公众号新用户提醒,29
2026/3/5,2026/3/11,南平市智达信息科技有限公司,13
2026/3/5,2026/3/11,马兰花开,4
2026/3/5,2026/3/11,小卷开屏弹窗,4
2026/3/5,2026/3/11,组卷网服务号新用户提醒,3
2026/3/5,2026/3/11,组卷网公众号推文(i),2
