dt,active_uv,new_uv,old_uv,新用户占比
2026/1/1,22054,3985,18069,18%
2026/1/2,27358,4952,22406,18%
2026/1/3,30989,5395,25594,17%
2026/1/4,21786,3490,18296,16%
2026/1/5,23213,3835,19378,17%
2026/1/6,24064,4005,20059,17%
2026/1/7,25342,4482,20860,18%
2026/1/8,25628,4999,20629,20%
2026/1/9,24084,4815,19269,20%
2026/1/10,32033,6790,25243,21%
2026/1/11,37160,6793,30367,18%
2026/1/12,26331,4332,21999,16%
2026/1/13,27026,4170,22856,15%
2026/1/14,28507,5255,23252,18%
2026/1/15,28668,5222,23446,18%
2026/1/16,28278,5786,22492,20%
2026/1/17,38770,8436,30334,22%
2026/1/18,43999,8327,35672,19%
2026/1/19,30309,4805,25504,16%
2026/1/20,30876,4795,26081,16%
2026/1/21,30947,5302,25645,17%
2026/1/22,30836,5600,25236,18%
2026/1/23,29666,5968,23698,20%
2026/1/24,40933,9002,31931,22%
2026/1/25,45337,8665,36672,19%
2026/1/26,31735,4727,27008,15%
2026/1/27,31854,4536,27318,14%
2026/1/28,31571,4917,26654,16%
2026/1/29,29447,4277,25170,15%
2026/1/30,28003,5270,22733,19%
2026/1/31,33100,6901,26199,21%
2026/2/1,31908,5629,26279,18%
2026/2/2,25302,3896,21406,15%
2026/2/3,23678,3509,20169,15%
2026/2/4,22589,3320,19269,15%
2026/2/5,21337,3481,17856,16%
2026/2/6,20618,3597,17021,17%
2026/2/7,19610,3732,15878,19%
2026/2/8,18048,3391,14657,19%
2026/2/9,17186,3003,14183,17%
2026/2/10,16432,2782,13650,17%
2026/2/11,15780,2646,13134,17%
2026/2/12,15099,2609,12490,17%
2026/2/13,14099,2277,11822,16%
2026/2/14,12332,1924,10408,16%
2026/2/15,10532,1456,9076,14%
2026/2/16,6556,762,5794,12%
2026/2/17,6786,820,5966,12%
2026/2/18,8443,1116,7327,13%
2026/2/19,9838,1372,8466,14%
2026/2/20,11176,1579,9597,14%
2026/2/21,12182,1890,10292,16%
2026/2/22,13458,2115,11343,16%
2026/2/23,14756,2396,12360,16%
2026/2/24,15396,2526,12870,16%
2026/2/25,15447,2484,12963,16%
2026/2/26,15617,2520,13097,16%
2026/2/27,15385,2465,12920,16%
2026/2/28,15401,2635,12766,17%
2026/3/1,16099,2592,13507,16%
2026/3/2,14012,2239,11773,16%
2026/3/3,14115,2283,11832,16%
2026/3/4,13244,1968,11276,15%
2026/3/5,13202,1973,11229,15%
2026/3/6,12830,2203,10627,17%
2026/3/7,17677,3180,14497,18%
2026/3/8,19542,3124,16418,16%
2026/3/9,12854,1843,11011,14%
2026/3/10,12643,1726,10917,14%
2026/3/11,12762,1735,11027,14%
2026/3/12,12685,1701,10984,13%
2026/3/13,12982,2096,10886,16%
2026/3/14,18692,3195,15497,17%
2026/3/15,20613,3116,17497,15%
2026/3/16,13576,1887,11689,14%
2026/3/17,13859,1871,11988,14%
2026/3/18,13985,1765,12220,13%
2026/3/19,14013,1913,12100,14%
2026/3/20,13957,2058,11899,15%
2026/3/21,19829,3205,16624,16%
2026/3/22,22780,3268,19512,14%
2026/3/23,14920,1889,13031,13%
2026/3/24,15030,1910,13120,13%
2026/3/25,15114,1875,13239,12%
2026/3/26,15965,2133,13832,13%
2026/3/27,16053,2839,13214,18%
2026/3/28,21962,3826,18136,17%
2026/3/29,25284,3751,21533,15%
2026/3/30,17367,2196,15171,13%
2026/3/31,17306,2219,15087,13%
2026/4/1,17425,2220,15205,13%
